id_solicitud,fecha_solicitud,semana,prioridad,area_solicitante,tipo_etiqueta,canal_informal_flag,version_incorrecta_flag,problema_trazabilidad_flag,reproceso_flag
SOL-202606-00001,2026-06-10,Semana 2,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00002,2026-06-16,Semana 3,Alta,Diseño de Tags,Etiqueta de cuidado,0,1,1,0
SOL-202606-00003,2026-06-02,Semana 1,Alta,Planeación,Etiqueta de cuidado,0,0,0,1
SOL-202606-00004,2026-06-05,Semana 1,Baja,Calidad,Etiqueta logística,0,0,0,1
SOL-202606-00005,2026-06-15,Semana 3,Media,Desarrollo de Producto,Hangtag,0,0,0,0
SOL-202606-00006,2026-06-09,Semana 2,Baja,Diseño de Tags,Sticker promocional,1,0,1,0
SOL-202606-00007,2026-06-05,Semana 1,Media,Planeación,Etiqueta logística,0,0,0,0
SOL-202606-00008,2026-06-11,Semana 2,Alta,Diseño de Tags,Etiqueta logística,0,0,0,0
SOL-202606-00009,2026-06-10,Semana 2,Media,Desarrollo de Producto,Etiqueta de cuidado,0,0,0,1
SOL-202606-00010,2026-06-15,Semana 3,Baja,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00011,2026-06-03,Semana 1,Alta,Calidad,Etiqueta de composición,1,0,1,1
SOL-202606-00012,2026-06-30,Semana 5,Baja,Desarrollo de Producto,Etiqueta logística,0,0,0,0
SOL-202606-00013,2026-06-22,Semana 4,Baja,Unidad de Negocio,Etiqueta de composición,0,0,0,0
SOL-202606-00014,2026-06-01,Semana 1,Media,Desarrollo de Producto,Etiqueta de composición,0,0,0,0
SOL-202606-00015,2026-06-09,Semana 2,Baja,Diseño de Tags,Etiqueta de cuidado,1,0,1,0
SOL-202606-00016,2026-06-25,Semana 4,Alta,Planeación,Etiqueta de composición,1,1,1,0
SOL-202606-00017,2026-06-23,Semana 4,Baja,Planeación,Etiqueta de talla,1,0,1,0
SOL-202606-00018,2026-06-18,Semana 3,Baja,Diseño de Tags,Hangtag,0,0,0,1
SOL-202606-00019,2026-06-11,Semana 2,Media,Calidad,Sticker promocional,0,0,0,0
SOL-202606-00020,2026-06-04,Semana 1,Baja,Mercadeo,Etiqueta de composición,0,0,0,0
SOL-202606-00021,2026-06-08,Semana 2,Media,Diseño de Tags,Etiqueta logística,0,0,0,0
SOL-202606-00022,2026-06-24,Semana 4,Media,Desarrollo de Producto,Etiqueta logística,0,0,0,0
SOL-202606-00023,2026-06-08,Semana 2,Media,Diseño de Tags,Etiqueta logística,0,0,0,0
SOL-202606-00024,2026-06-05,Semana 1,Baja,Mercadeo,Etiqueta logística,0,0,0,0
SOL-202606-00025,2026-06-05,Semana 1,Media,Diseño de Tags,Etiqueta de talla,1,0,1,1
SOL-202606-00026,2026-06-19,Semana 3,Media,Planeación,Etiqueta de composición,0,0,0,0
SOL-202606-00027,2026-06-23,Semana 4,Media,Unidad de Negocio,Etiqueta de composición,0,0,0,0
SOL-202606-00028,2026-06-05,Semana 1,Alta,Diseño de Tags,Etiqueta de cuidado,0,0,0,1
SOL-202606-00029,2026-06-01,Semana 1,Media,Unidad de Negocio,Hangtag,1,0,1,0
SOL-202606-00030,2026-06-17,Semana 3,Media,Diseño de Tags,Sticker promocional,0,0,0,1
SOL-202606-00031,2026-06-09,Semana 2,Alta,Diseño de Tags,Etiqueta logística,0,0,0,1
SOL-202606-00032,2026-06-26,Semana 4,Baja,Desarrollo de Producto,Etiqueta de cuidado,1,0,1,0
SOL-202606-00033,2026-06-03,Semana 1,Alta,Desarrollo de Producto,Etiqueta logística,0,1,1,0
SOL-202606-00034,2026-06-22,Semana 4,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,1
SOL-202606-00035,2026-06-12,Semana 2,Media,Calidad,Etiqueta de talla,0,0,0,1
SOL-202606-00036,2026-06-29,Semana 5,Media,Diseño de Tags,Sticker promocional,0,0,0,1
SOL-202606-00037,2026-06-04,Semana 1,Alta,Desarrollo de Producto,Etiqueta logística,0,0,0,0
SOL-202606-00038,2026-06-11,Semana 2,Alta,Planeación,Etiqueta de composición,0,0,0,1
SOL-202606-00039,2026-06-25,Semana 4,Media,Unidad de Negocio,Etiqueta logística,0,0,0,0
SOL-202606-00040,2026-06-24,Semana 4,Media,Desarrollo de Producto,Etiqueta de composición,0,0,0,0
SOL-202606-00041,2026-06-18,Semana 3,Baja,Mercadeo,Hangtag,1,0,1,0
SOL-202606-00042,2026-06-09,Semana 2,Alta,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00043,2026-06-30,Semana 5,Media,Calidad,Etiqueta de composición,0,0,0,0
SOL-202606-00044,2026-06-10,Semana 2,Media,Calidad,Hangtag,0,0,0,0
SOL-202606-00045,2026-06-05,Semana 1,Alta,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00046,2026-06-17,Semana 3,Alta,Calidad,Etiqueta de composición,0,0,0,0
SOL-202606-00047,2026-06-30,Semana 5,Alta,Desarrollo de Producto,Etiqueta de cuidado,0,0,0,0
SOL-202606-00048,2026-06-22,Semana 4,Media,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00049,2026-06-23,Semana 4,Baja,Diseño de Tags,Etiqueta de talla,0,0,0,0
SOL-202606-00050,2026-06-01,Semana 1,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00051,2026-06-18,Semana 3,Media,Calidad,Etiqueta de cuidado,0,0,0,0
SOL-202606-00052,2026-06-02,Semana 1,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00053,2026-06-08,Semana 2,Alta,Planeación,Hangtag,0,0,0,0
SOL-202606-00054,2026-06-15,Semana 3,Media,Calidad,Hangtag,0,0,0,1
SOL-202606-00055,2026-06-16,Semana 3,Alta,Desarrollo de Producto,Sticker promocional,0,0,0,0
SOL-202606-00056,2026-06-23,Semana 4,Media,Desarrollo de Producto,Etiqueta de cuidado,0,0,0,0
SOL-202606-00057,2026-06-18,Semana 3,Media,Planeación,Hangtag,0,1,1,0
SOL-202606-00058,2026-06-02,Semana 1,Baja,Unidad de Negocio,Sticker promocional,0,0,0,0
SOL-202606-00059,2026-06-04,Semana 1,Media,Planeación,Etiqueta de composición,0,0,0,1
SOL-202606-00060,2026-06-29,Semana 5,Alta,Planeación,Etiqueta de composición,0,0,0,0
SOL-202606-00061,2026-06-24,Semana 4,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00062,2026-06-09,Semana 2,Alta,Planeación,Hangtag,1,0,1,0
SOL-202606-00063,2026-06-09,Semana 2,Media,Unidad de Negocio,Etiqueta logística,1,0,1,0
SOL-202606-00064,2026-06-01,Semana 1,Alta,Calidad,Etiqueta de talla,1,0,1,0
SOL-202606-00065,2026-06-15,Semana 3,Baja,Planeación,Etiqueta de talla,0,0,0,0
SOL-202606-00066,2026-06-24,Semana 4,Baja,Desarrollo de Producto,Hangtag,0,0,0,0
SOL-202606-00067,2026-06-09,Semana 2,Media,Calidad,Etiqueta de composición,0,0,0,0
SOL-202606-00068,2026-06-02,Semana 1,Baja,Diseño de Tags,Etiqueta de composición,0,1,1,0
SOL-202606-00069,2026-06-25,Semana 4,Media,Desarrollo de Producto,Hangtag,0,0,0,0
SOL-202606-00070,2026-06-16,Semana 3,Media,Mercadeo,Etiqueta de composición,0,0,0,0
SOL-202606-00071,2026-06-23,Semana 4,Baja,Mercadeo,Etiqueta logística,1,0,1,0
SOL-202606-00072,2026-06-10,Semana 2,Alta,Diseño de Tags,Sticker promocional,0,0,0,0
SOL-202606-00073,2026-06-03,Semana 1,Alta,Diseño de Tags,Sticker promocional,0,0,0,1
SOL-202606-00074,2026-06-04,Semana 1,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00075,2026-06-09,Semana 2,Baja,Unidad de Negocio,Etiqueta de cuidado,0,0,0,0
SOL-202606-00076,2026-06-11,Semana 2,Baja,Desarrollo de Producto,Sticker promocional,0,0,0,0
SOL-202606-00077,2026-06-01,Semana 1,Alta,Mercadeo,Etiqueta de cuidado,1,1,1,1
SOL-202606-00078,2026-06-03,Semana 1,Media,Planeación,Sticker promocional,0,0,0,0
SOL-202606-00079,2026-06-29,Semana 5,Baja,Planeación,Sticker promocional,0,1,1,0
SOL-202606-00080,2026-06-12,Semana 2,Media,Calidad,Hangtag,1,0,1,0
SOL-202606-00081,2026-06-07,Semana 1,Media,Diseño de Tags,Hangtag,0,0,0,0
SOL-202606-00082,2026-06-03,Semana 1,Media,Diseño de Tags,Sticker promocional,0,0,0,0
SOL-202606-00083,2026-06-05,Semana 1,Media,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00084,2026-06-02,Semana 1,Alta,Calidad,Etiqueta de talla,0,0,0,0
SOL-202606-00085,2026-06-11,Semana 2,Media,Diseño de Tags,Etiqueta de cuidado,0,0,0,1
SOL-202606-00086,2026-06-18,Semana 3,Baja,Diseño de Tags,Hangtag,0,0,0,0
SOL-202606-00087,2026-06-04,Semana 1,Media,Diseño de Tags,Etiqueta de composición,0,0,0,0
SOL-202606-00088,2026-06-29,Semana 5,Alta,Diseño de Tags,Sticker promocional,0,0,0,0
SOL-202606-00089,2026-06-22,Semana 4,Media,Calidad,Etiqueta logística,0,0,0,0
SOL-202606-00090,2026-06-30,Semana 5,Media,Desarrollo de Producto,Hangtag,0,0,0,0
SOL-202606-00091,2026-06-11,Semana 2,Alta,Desarrollo de Producto,Etiqueta de talla,0,0,0,0
SOL-202606-00092,2026-06-09,Semana 2,Media,Diseño de Tags,Hangtag,1,0,1,0
SOL-202606-00093,2026-06-23,Semana 4,Baja,Diseño de Tags,Etiqueta de cuidado,1,0,1,0
SOL-202606-00094,2026-06-24,Semana 4,Media,Desarrollo de Producto,Hangtag,0,0,0,1
SOL-202606-00095,2026-06-04,Semana 1,Media,Calidad,Etiqueta de cuidado,1,0,1,0
SOL-202606-00096,2026-06-25,Semana 4,Media,Desarrollo de Producto,Hangtag,1,0,1,0
SOL-202606-00097,2026-06-08,Semana 2,Baja,Calidad,Etiqueta de cuidado,0,0,0,0
SOL-202606-00098,2026-06-10,Semana 2,Baja,Calidad,Etiqueta de cuidado,0,0,0,0
SOL-202606-00099,2026-06-09,Semana 2,Baja,Diseño de Tags,Etiqueta de talla,0,0,0,0
SOL-202606-00100,2026-06-01,Semana 1,Media,Diseño de Tags,Etiqueta de talla,0,0,0,0
SOL-202606-00101,2026-06-29,Semana 5,Media,Unidad de Negocio,Etiqueta logística,0,0,0,0
SOL-202606-00102,2026-06-18,Semana 3,Media,Mercadeo,Etiqueta de talla,0,0,0,0
SOL-202606-00103,2026-06-23,Semana 4,Baja,Calidad,Etiqueta de cuidado,0,0,0,0
SOL-202606-00104,2026-06-29,Semana 5,Alta,Diseño de Tags,Hangtag,0,1,1,0
SOL-202606-00105,2026-06-03,Semana 1,Media,Desarrollo de Producto,Etiqueta de cuidado,0,0,0,1
SOL-202606-00106,2026-06-22,Semana 4,Media,Desarrollo de Producto,Etiqueta de composición,1,0,1,0
SOL-202606-00107,2026-06-18,Semana 3,Media,Unidad de Negocio,Etiqueta de cuidado,0,0,0,0
SOL-202606-00108,2026-06-04,Semana 1,Alta,Diseño de Tags,Etiqueta de composición,1,0,1,0
SOL-202606-00109,2026-06-22,Semana 4,Media,Mercadeo,Etiqueta de composición,0,0,0,0
SOL-202606-00110,2026-06-05,Semana 1,Baja,Diseño de Tags,Etiqueta logística,0,0,0,0
SOL-202606-00111,2026-06-17,Semana 3,Media,Unidad de Negocio,Sticker promocional,0,0,0,0
SOL-202606-00112,2026-06-15,Semana 3,Baja,Diseño de Tags,Etiqueta de cuidado,0,0,0,0
SOL-202606-00113,2026-06-05,Semana 1,Baja,Diseño de Tags,Etiqueta logística,0,0,0,0
SOL-202606-00114,2026-06-16,Semana 3,Baja,Desarrollo de Producto,Hangtag,0,0,0,0
